Item Description,Category,Qty,Estimated Price,Source Link
2020 Aluminum Extrusions (10-Pack - 9 pieces for core frame + 1 spare stock),Frame,1,$31.99,https://www.amazon.com/LOYORTY-Aluminum-Extrusion-Anodized-15-75inch/dp/B0GZP2QH78/ref=sr_1_4?crid=298WNUFUBVUG7&dib=eyJ2IjoiMSJ9.1AsDD81-ixKsFFQj_xlyEmQwdj1Ficyihqx9ftfWeNcYAh6goGuFc5z_8kEl5P3vkuXtQeLX1RsdtUULFahukKRbVNOTPYj3UcHLwHDAIoFa40CPLejfdDKTKYy9sfGGWumur46ZElqQmUEdOVcBghm7Bx3K_0ypj1IH4-zFtEJXV51hfc-9qp1_LNfolz_PuXYAHtPgmsmh6DyL_LDsveOXPUuU1tiY_BarXqdVJ1w.Z1Fk8kJKlXaST70H5-4Hxhk40VgPu9X_CWO3Lb05uHc&dib_tag=se&keywords=20x20+extrusions+400mm+10&qid=1784998119&sprefix=20x20+extrusions+400mm+10%2Caps%2C185&sr=8-4
MGN12H Linear Rails (300mm),Motion,3,$35.00,https://...
GT2 Belts & 20T Pulleys / Idlers Kit,Motion,1,$15.00,https://...
T8 2mm Pitch Lead Screws + Nuts,Motion,3,$18.00,https://...
NEMA 17 Stepper Motors,Electronics,5,$40.00,https://...
Mean Well LRS-350-24 Power Supply,Electronics,1,$32.00,https://...
Raspberry Pi 4 Model B,Electronics,1,$55.00,https://...
Main Controller Board,Electronics,1,$45.00,https://...
Toolhead / Extruder (Placeholder),Toolhead,1,$40.00,https://...
Cooling Fans (5015 Blowers & Electronics Fan),Cooling,1,$15.00,https://...
M3/M4 Fasteners & T-Nut Hardware Assortment,Hardware,1,$20.00,https://...
